Player,Team,Position,Age,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Height,Weight,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,xA per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Lateral passes per 90,"Accurate lateral passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %",Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90.1,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %",conference_season,conference_type,Season
A.  Skinner,Virginia Tech Hokies,GK,21.0,18,1803,0,0.0,0,0.0,0.9,88.89,United States,United States,175,0,1.35,0.05,100.0,0.7,85.71,0.0,0.0,0.0,1.3,1.78,0.0,1,0.05,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,100.0,0.0,0.0,17.12,0.0,0.35,24.66,85.43,13.73,76.0,0.0,0.0,10.38,97.6,15.67,98.09,8.99,63.33,29.78,41.89,0.0,0.0,0.0,0.0,0.0,0.0,1.0,50.0,0.1,0.0,0.1,0.0,0.0,0.0,6.29,71.43,17,0.85,94,4.69,7,81.91,20.11,1.0,3.11,0.155,0.0,1.6,0.7,,,,0.0,0,0.0,ACC 2023,Power 5,2023
V. Haugen,Virginia Tech Hokies,RCB,21.0,18,1758,0,0.0,1,1.05,9.27,54.7,United States,United States,170,0,8.65,4.91,68.75,1.54,40.0,0.1,0.14,0.41,5.17,7.06,0.2,3,0.15,0,0.0,0.67,0.0,0,0.0,0.0,0,0.0,1,0.05,0.0,0.0,0.05,0.05,0.26,20.0,0.0,0.0,0.26,20.0,0.05,0.77,60.0,1.84,44.44,0.0,1.54,26.31,0.41,0.36,40.6,79.95,18.63,65.66,5.32,98.08,14.44,93.26,31.59,88.82,8.86,49.71,23.38,36.6,0.61,0.0,0.0,0.31,50.0,0.2,6.86,55.22,1.02,35.0,1.18,43.48,0.36,0.05,10.24,66.5,0,,0,,0,0.0,0.0,0.0,,,4.61,,,1.64,0.05,0.0,0.05,0,0.0,ACC 2023,Power 5,2023
B. Weber,NC State Wolfpack,"LCB , DMF",,18,1752,0,0.5,1,1.33,9.14,44.94,United States,United States,172,0,8.58,3.96,59.74,1.64,34.38,0.05,0.06,0.98,6.16,6.7,0.36,3,0.15,0,0.0,0.41,0.0,0,0.0,0.03,0,0.0,5,0.26,40.0,0.0,0.05,0.07,0.05,100.0,0.05,100.0,0.0,0.0,0.0,0.62,41.67,2.57,30.0,0.21,0.1,15.57,0.05,0.31,25.33,73.02,11.46,56.05,2.11,92.68,9.4,90.71,19.57,81.63,5.7,43.24,22.14,37.01,0.21,0.05,0.0,0.0,0.0,0.1,3.08,65.0,0.26,60.0,0.21,25.0,0.1,0.05,6.06,45.76,0,,0,,0,0.0,0.0,0.0,,,0.72,,,0.62,0.05,0.0,0.0,0,0.0,ACC 2023,Power 5,2023
S. Costello,Boston College Eagles,"RCB , RCB3",,18,1752,0,0.1,0,0.0,10.74,63.64,United States,United States,170,0,8.53,5.8,70.8,1.64,62.5,0.15,0.19,0.57,4.26,5.12,0.05,0,0.0,0,0.0,0.41,0.0,0,0.0,0.01,0,0.0,1,0.05,0.0,0.0,0.0,0.0,0.15,66.67,0.0,0.0,0.15,66.67,0.0,0.41,62.5,1.54,46.67,0.05,0.72,17.21,0.1,0.46,30.05,75.9,16.44,69.06,2.52,93.88,8.68,84.62,24.97,83.95,4.98,36.08,19.31,31.31,0.0,0.0,0.05,0.1,50.0,0.0,4.37,52.94,0.46,33.33,0.1,50.0,0.15,0.05,6.47,53.97,0,,0,,0,0.0,0.0,0.0,,,2.05,,,0.0,0.0,0.0,0.0,0,0.0,ACC 2023,Power 5,2023
E. Skyers,Virginia Tech Hokies,LB,,18,1746,1,0.18,1,1.91,21.19,61.31,United States,United States,168,0,14.43,12.16,71.19,1.44,64.29,1.29,1.75,0.21,4.48,6.1,1.03,1,0.05,0,0.0,2.16,0.05,1,0.05,0.01,0,0.0,6,0.31,50.0,16.667,0.05,0.1,2.11,24.39,2.11,24.39,0.0,0.0,0.1,2.32,62.22,5.26,49.02,0.1,1.39,22.22,0.82,0.82,35.82,66.76,17.37,55.19,5.31,93.2,7.42,77.78,29.54,74.0,4.23,36.59,19.04,30.0,0.88,0.05,0.0,0.05,100.0,0.0,6.03,51.28,1.91,35.14,0.46,22.22,0.21,0.57,9.43,58.47,0,,0,,0,0.0,0.0,0.0,,,0.36,,,0.31,0.1,100.0,2.63,0,0.0,ACC 2023,Power 5,2023
K. Grant,Syracuse Orange,"LCB , RB",20.0,17,1738,0,0.11,0,0.19,16.16,50.96,Canada,Canada,165,0,10.15,8.96,54.34,2.02,38.46,0.1,0.13,0.62,5.18,6.68,0.16,2,0.1,0,0.0,1.09,0.0,0,0.0,0.01,0,0.0,3,0.16,33.33,0.0,0.0,0.01,0.36,14.29,0.05,0.0,0.31,16.67,0.05,1.4,66.67,3.68,50.7,0.05,0.52,17.92,0.21,0.78,31.85,78.21,13.72,64.53,3.88,92.0,11.44,90.95,27.81,85.29,3.68,30.99,19.3,31.5,0.05,0.0,0.0,0.16,33.33,0.0,2.23,46.51,0.67,23.08,0.21,25.0,0.1,0.1,5.9,45.61,0,,0,,0,0.0,0.0,0.0,,,1.55,,,0.0,0.0,0.0,0.0,0,0.0,ACC 2023,Power 5,2023
S. Vanderbosch,Syracuse Orange,GK,,17,1738,0,0.0,0,0.0,1.29,80.0,United States,United States,170,0,1.76,0.31,50.0,0.67,92.31,0.05,0.07,0.0,1.55,2.0,0.05,1,0.05,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,16.05,0.05,0.26,24.55,75.53,13.26,57.81,0.0,0.0,9.99,96.37,13.77,96.62,10.77,48.56,31.06,44.71,0.0,0.0,0.0,0.0,0.0,0.0,0.72,14.29,0.0,0.0,0.0,0.0,0.0,0.0,8.23,55.35,46,2.38,165,8.54,2,72.12,45.76,2.37,-0.24,-0.012,0.0,1.09,0.67,,,,0.0,0,0.0,ACC 2023,Power 5,2023
E. Floyd,Louisville Cardinals,GK,,18,1738,0,0.0,0,0.0,0.93,77.78,United States,United States,173,0,2.95,0.26,60.0,0.31,100.0,0.0,0.0,0.0,2.8,3.54,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,66.67,0.0,0.0,6.16,0.05,0.21,13.67,57.95,10.72,53.62,0.05,0.0,2.85,76.36,3.52,86.76,10.15,47.96,39.8,44.91,0.0,0.0,0.0,0.0,0.0,0.0,1.71,24.24,0.05,0.0,0.05,0.0,0.0,0.0,6.01,65.52,24,1.24,79,4.09,4,69.62,23.95,1.24,-0.05,-0.003,0.0,1.45,0.31,,,,0.0,0,0.0,ACC 2023,Power 5,2023
H. Mackiewicz,Clemson Tigers,GK,,18,1727,0,0.0,0,0.0,0.73,78.57,United States,United States,177,0,1.72,0.1,100.0,0.31,100.0,0.0,0.0,0.0,1.62,2.49,0.05,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,100.0,0.0,0.0,10.21,0.05,0.26,15.84,87.83,6.15,72.88,0.0,0.0,8.18,98.09,11.26,98.61,4.53,62.07,25.81,34.34,0.0,0.0,0.0,0.0,0.0,0.0,0.31,50.0,0.0,0.0,0.0,0.0,0.0,0.0,2.76,62.26,9,0.47,50,2.61,12,82.0,14.18,0.74,5.18,0.27,0.0,0.52,0.31,,,,0.0,0,0.0,ACC 2023,Power 5,2023
S. King,North Carolina Heels,"CB , LCB , RCB3",,18,1726,0,0.33,0,0.11,9.02,71.1,United States,United States,167,0,7.04,4.38,78.57,1.25,79.17,0.31,0.57,0.16,3.29,5.94,0.26,2,0.1,0,0.0,0.94,0.0,0,0.0,0.02,0,0.0,8,0.42,37.5,0.0,0.0,0.01,0.16,100.0,0.1,100.0,0.05,100.0,0.05,0.68,84.62,1.72,60.61,0.16,0.31,42.6,0.21,0.26,61.58,89.42,18.51,73.8,4.17,97.5,32.59,97.28,55.85,92.53,5.58,57.94,19.39,33.88,0.16,0.0,0.0,0.21,25.0,0.05,6.88,70.45,0.37,42.86,0.47,33.33,0.16,0.16,7.35,63.12,0,,0,,0,0.0,0.0,0.0,,,2.29,,,0.0,0.0,0.0,0.0,0,0.0,ACC 2023,Power 5,2023
E. Breech,Pittsburgh Panthers,GK,,18,1717,0,0.0,0,0.0,1.36,84.62,United States,United States,0,0,1.47,0.05,100.0,1.15,86.36,0.0,0.0,0.0,1.42,2.34,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,100.0,0.0,0.0,10.96,0.05,0.16,17.72,84.02,8.02,69.93,0.0,0.0,9.28,95.48,12.21,99.14,5.5,50.48,28.06,35.74,0.0,0.0,0.0,0.0,0.0,0.0,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.56,35.29,18,0.94,60,3.15,4,70.0,16.35,0.86,-1.65,-0.086,0.0,1.83,1.15,,,,0.0,0,0.0,ACC 2023,Power 5,2023
A. George,Virginia Tech Hokies,RB,20.0,18,1715,0,1.82,0,0.89,19.78,58.89,United States,United States,180,0,13.49,10.92,64.9,1.99,57.89,0.1,0.14,0.21,6.3,8.49,1.0,0,0.0,0,0.0,2.1,0.0,0,0.0,0.1,0,0.0,7,0.37,28.57,0.0,0.0,0.05,2.73,30.77,0.05,0.0,2.68,31.37,0.16,1.78,61.76,4.57,51.72,0.84,1.0,20.1,0.73,1.05,34.9,65.26,18.16,56.65,4.41,92.86,8.34,68.55,26.61,74.95,5.77,35.45,20.49,34.33,0.58,0.0,0.0,0.05,100.0,0.37,6.3,52.5,2.68,33.33,0.47,33.33,0.42,0.89,10.44,63.32,0,,0,,0,0.0,0.0,0.0,,,0.52,,,0.05,0.0,0.0,0.05,0,0.0,ACC 2023,Power 5,2023
G. Gillard,Syracuse Orange,"RCB , LCB",19.0,17,1707,0,1.02,1,0.42,13.23,51.0,United States,"United States , England",175,0,10.49,7.12,55.56,2.64,48.0,0.63,0.81,1.37,5.91,7.58,0.47,1,0.05,0,0.0,0.58,0.0,0,0.0,0.05,0,0.0,15,0.79,6.67,0.0,0.05,0.02,0.26,20.0,0.11,0.0,0.16,33.33,0.05,0.58,81.82,1.69,46.88,0.84,0.37,25.36,0.11,0.37,43.71,73.46,21.25,59.06,3.43,98.46,16.5,88.82,33.9,85.23,9.54,33.15,23.59,36.94,0.16,0.0,0.0,0.0,0.0,0.05,5.75,41.28,0.63,8.33,0.42,0.0,0.05,0.05,9.12,46.24,0,,0,,0,0.0,0.0,0.0,,,2.85,,,0.53,0.0,0.0,0.0,0,0.0,ACC 2023,Power 5,2023
W. Willebrandt,Boston College Eagles,GK,22.0,18,1702,0,0.0,0,0.0,2.06,82.05,Germany,Germany,183,0,5.39,0.16,100.0,1.32,96.0,0.0,0.0,0.0,5.24,6.29,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21,75.0,0.0,0.0,8.88,0.05,0.32,21.1,75.69,12.16,60.87,0.0,0.0,7.56,96.5,10.95,99.03,10.1,50.79,33.07,40.38,0.0,0.0,0.0,0.0,0.0,0.0,1.22,43.48,0.05,0.0,0.0,0.0,0.0,0.0,6.29,63.03,31,1.64,110,5.82,3,71.82,34.22,1.81,3.22,0.17,0.0,2.38,1.32,,,,0.0,0,0.0,ACC 2023,Power 5,2023
D. Davis,Clemson Tigers,"LB , LCB",,18,1672,1,0.94,4,4.63,18.19,52.96,United States,United States,175,0,8.24,5.6,71.15,2.91,61.11,0.0,0.0,0.11,4.25,6.29,0.7,1,0.05,0,0.0,2.96,0.05,1,0.05,0.05,0,0.0,28,1.51,25.0,3.571,0.22,0.25,1.29,41.67,0.81,33.33,0.48,55.56,0.32,3.07,64.91,7.86,39.73,0.7,2.53,34.77,0.59,0.48,53.56,83.92,16.31,63.04,8.07,96.0,22.61,93.1,46.35,89.66,5.92,48.18,20.64,37.77,1.83,0.0,0.0,0.32,16.67,0.32,7.32,58.09,2.21,46.34,0.86,18.75,0.65,0.54,8.02,67.11,0,,0,,0,0.0,0.0,0.0,,,1.99,,,0.48,0.11,50.0,3.28,0,0.0,ACC 2023,Power 5,2023
W. Hudson,Notre Dame Fighting Irish,"LCB3 , RCB3",,17,1623,0,0.0,0,0.14,9.59,56.65,United States,United States,168,0,7.49,4.88,67.05,2.22,50.0,0.33,0.47,0.5,3.88,5.45,0.06,1,0.06,0,0.0,0.22,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.01,0.28,60.0,0.17,66.67,0.11,50.0,0.0,0.06,100.0,0.78,14.29,0.0,0.61,27.01,0.39,0.06,40.15,83.29,18.63,72.32,1.89,97.06,15.42,92.45,32.83,88.85,7.04,58.27,19.98,32.46,0.17,0.0,0.0,0.06,0.0,0.0,5.32,61.46,0.55,50.0,0.11,0.0,0.22,0.17,9.15,70.91,0,,0,,0,0.0,0.0,0.0,,,0.39,,,0.0,0.0,0.0,0.0,0,0.0,ACC 2023,Power 5,2023
A. Gordon,Pittsburgh Panthers,"LCB , CB , RCB",,18,1618,2,3.48,1,0.88,8.57,61.69,United States,United States,180,0,6.51,3.73,71.64,2.45,56.82,0.39,0.62,0.33,3.45,5.52,0.33,0,0.0,0,0.0,0.5,0.11,1,0.06,0.19,1,0.06,14,0.78,50.0,14.286,0.06,0.05,0.11,0.0,0.06,0.0,0.06,0.0,0.0,0.17,66.67,1.28,56.52,1.0,0.61,31.59,0.33,0.33,46.22,83.15,22.53,74.57,1.39,96.0,19.02,93.27,38.1,90.8,8.01,47.92,23.06,39.11,0.28,0.06,0.0,0.0,0.0,0.0,5.78,53.85,0.5,44.44,0.44,25.0,0.17,0.06,10.4,72.73,0,,0,,0,0.0,0.0,0.0,,,1.11,,,1.06,0.0,0.0,0.0,2,50.0,ACC 2023,Power 5,2023
L. Klenke,Notre Dame Fighting Irish,"LWB , LCB3",19.0,17,1612,2,3.2,6,3.65,23.11,53.14,United States,United States,0,0,11.28,7.31,60.31,2.12,57.89,0.0,0.0,0.11,6.87,9.58,0.73,0,0.0,0,0.0,7.09,0.11,2,0.11,0.18,0,0.0,27,1.51,29.63,7.407,0.33,0.2,5.64,37.62,5.47,38.78,0.11,0.0,0.5,5.81,74.04,11.05,49.49,2.57,3.74,24.45,1.45,0.39,44.61,70.46,15.13,57.56,6.7,93.33,15.41,75.36,32.44,81.93,6.59,42.37,20.23,32.54,1.51,0.0,0.06,0.5,44.44,0.89,5.25,55.32,5.08,48.35,1.12,35.0,0.95,1.79,10.44,64.17,0,,0,,0,0.0,0.0,0.0,,,0.17,,,0.0,0.0,0.0,0.0,0,0.0,ACC 2023,Power 5,2023
A. Abramson,Syracuse Orange,"LB , RB , LCB",,17,1604,1,0.79,0,0.66,21.88,48.46,United States,United States,165,0,11.05,10.21,54.95,2.19,43.59,0.06,0.07,0.28,5.39,6.64,0.56,1,0.06,0,0.0,2.13,0.06,1,0.06,0.04,1,0.06,13,0.73,23.08,7.692,0.0,0.04,1.35,25.0,1.01,22.22,0.34,33.33,0.17,2.58,63.04,6.9,44.72,0.34,1.12,15.94,0.39,0.95,27.55,72.71,12.18,63.13,3.42,83.61,7.91,85.11,23.96,79.16,2.3,31.71,17.7,29.77,0.56,0.0,0.0,0.11,0.0,0.11,3.25,51.72,0.95,23.53,0.28,0.0,0.06,0.28,5.72,53.92,0,,0,,0,0.0,0.0,0.0,,,0.28,,,0.34,0.11,50.0,0.79,0,0.0,ACC 2023,Power 5,2023
A. Rauch,Syracuse Orange,"LCMF , RCMF , AMF",20.0,17,1603,1,1.39,0,0.57,22.91,46.32,United States,United States,165,0,9.49,9.21,59.15,2.13,36.84,1.12,1.43,0.17,2.92,3.71,1.68,4,0.22,0,0.0,2.19,0.06,1,0.06,0.08,0,0.0,26,1.46,23.08,3.846,0.0,0.03,0.62,36.36,0.34,16.67,0.28,60.0,0.11,2.75,51.02,8.98,36.25,0.79,1.18,16.28,0.34,2.13,28.41,70.36,9.15,47.85,5.84,88.46,9.21,82.32,24.48,75.69,3.31,37.29,19.63,39.65,0.51,0.0,0.0,0.56,40.0,0.0,5.0,49.44,1.24,31.82,0.84,33.33,0.39,0.22,4.6,53.66,0,,0,,0,0.0,0.0,0.0,,,0.06,,,0.22,0.06,100.0,0.84,0,0.0,ACC 2023,Power 5,2023
T. Staude,Virginia Cavaliers,"LCB , LCB3",,17,1601,3,1.68,0,0.2,7.65,54.41,United States,United States,170,0,4.55,2.42,55.81,2.7,60.42,0.11,0.17,0.51,3.09,4.69,0.0,0,0.0,0,0.0,1.07,0.17,3,0.17,0.09,2,0.11,18,1.01,44.44,16.667,0.0,0.01,0.17,33.33,0.17,33.33,0.0,0.0,0.0,0.56,80.0,1.8,50.0,1.63,3.6,51.83,0.34,0.17,69.54,87.71,23.1,74.21,2.87,88.24,38.68,96.08,61.44,92.77,7.93,49.65,21.14,35.5,0.28,0.0,0.0,0.17,66.67,0.0,9.5,71.01,1.07,42.11,0.56,40.0,0.56,0.11,10.85,73.58,0,,0,,0,0.0,0.0,0.0,,,1.35,,,0.06,0.0,0.0,0.0,0,0.0,ACC 2023,Power 5,2023
E. Pelkowski,Virginia Tech Hokies,"LCMF3 , LAMF , LCMF",20.0,18,1599,2,1.34,2,1.39,20.71,48.91,United States,United States,171,0,12.38,11.37,59.9,1.52,51.85,0.23,0.28,0.23,5.35,6.69,1.35,1,0.06,0,0.0,2.08,0.11,2,0.11,0.08,0,0.0,19,1.07,42.11,10.526,0.11,0.08,0.9,37.5,0.51,44.44,0.34,33.33,0.0,1.91,61.76,5.23,35.48,0.51,1.8,19.31,0.68,0.56,36.14,76.79,13.85,60.57,6.59,95.73,11.43,85.71,31.01,82.94,4.22,40.0,18.92,34.06,0.45,0.06,0.0,0.34,33.33,0.17,6.14,59.63,1.52,33.33,0.79,21.43,0.34,0.34,6.53,72.41,0,,0,,0,0.0,0.0,0.0,,,0.56,,,0.17,0.0,0.0,0.0,0,0.0,ACC 2023,Power 5,2023
A. Strickland,NC State Wolfpack,"AMF , RW , RAMF",23.0,18,1592,4,1.65,0,0.56,19.67,43.68,United States,United States,163,0,7.97,7.07,59.2,3.84,33.82,1.02,1.02,0.11,2.77,2.77,1.41,1,0.06,0,0.0,1.47,0.23,4,0.23,0.09,1,0.06,14,0.79,50.0,28.571,0.0,0.03,0.34,50.0,0.0,0.0,0.34,50.0,0.0,1.47,57.69,5.6,38.38,0.9,1.02,17.92,0.73,0.68,27.93,80.97,5.77,54.9,7.52,92.48,9.89,87.43,26.01,83.04,1.58,53.57,16.75,25.78,0.79,0.0,0.0,0.23,25.0,0.17,2.66,65.96,0.85,33.33,0.57,10.0,0.11,0.17,3.11,50.91,0,,0,,0,0.0,0.0,0.0,,,0.17,,,0.0,0.0,0.0,0.28,0,0.0,ACC 2023,Power 5,2023
E. Flurey,Syracuse Orange,"CF , LCMF , RCMF",20.0,17,1591,6,2.58,3,0.89,24.49,47.34,United States,United States,163,0,6.39,4.53,53.75,2.83,38.0,0.06,0.07,0.4,3.9,4.8,1.47,2,0.11,0,0.0,4.3,0.34,5,0.28,0.15,0,0.0,44,2.49,45.45,13.636,0.17,0.05,1.07,10.53,0.4,0.0,0.68,16.67,0.17,4.41,64.1,13.86,50.2,1.3,2.77,12.56,0.57,2.15,24.27,67.6,7.92,57.14,5.37,81.05,6.96,70.73,20.87,75.34,2.49,22.73,18.85,38.77,0.68,0.11,0.0,0.51,44.44,0.28,3.79,43.28,1.36,37.5,1.13,25.0,0.62,0.11,3.51,61.29,0,,0,,0,0.0,0.0,0.0,,,0.06,,,0.17,0.17,66.67,0.0,1,100.0,ACC 2023,Power 5,2023
C. Mensi,Boston College Eagles,"LCB , CB",23.0,18,1586,2,1.71,0,0.04,11.35,52.5,United States,United States,182,0,8.85,4.94,58.62,3.23,52.63,0.23,0.27,0.62,5.73,6.72,0.96,1,0.06,0,0.0,0.51,0.11,1,0.06,0.1,1,0.06,11,0.62,36.36,18.182,0.0,0.0,0.06,0.0,0.06,0.0,0.0,0.0,0.0,0.62,45.45,1.36,41.67,0.45,0.06,14.58,0.17,0.11,27.81,67.76,15.21,55.22,1.59,75.0,8.17,85.42,20.37,80.5,7.43,32.82,23.82,38.25,0.06,0.11,0.0,0.0,0.0,0.0,4.54,37.5,0.62,9.09,0.68,0.0,0.06,0.0,7.32,46.51,0,,0,,0,0.0,0.0,0.0,,,0.96,,,1.53,0.17,0.0,0.0,1,100.0,ACC 2023,Power 5,2023
L. Roberts,Louisville Cardinals,"RCB3 , RB , LCB",,17,1585,2,1.45,0,0.47,12.61,58.56,England,England,178,0,9.03,6.76,69.75,2.16,71.05,0.0,0.0,0.34,4.32,5.44,0.51,1,0.06,1,0.06,0.45,0.11,2,0.11,0.08,1,0.06,8,0.45,25.0,25.0,0.0,0.03,0.79,35.71,0.0,0.0,0.79,35.71,0.17,0.45,12.5,1.7,13.33,0.79,0.34,18.0,0.34,0.11,33.9,72.53,18.4,63.27,3.01,83.02,8.35,87.76,26.12,82.61,7.04,38.71,20.65,34.38,0.28,0.0,0.0,0.06,0.0,0.17,6.76,54.62,1.14,55.0,0.51,22.22,0.45,0.28,9.94,68.57,0,,0,,0,0.0,0.0,0.0,,,0.97,,,0.17,0.06,0.0,0.0,0,0.0,ACC 2023,Power 5,2023
F. Soto,NC State Wolfpack,"LB , LAMF , RB",,18,1581,0,0.76,0,1.11,18.44,44.14,United States,United States,155,0,8.43,8.31,42.47,1.31,43.48,0.68,0.71,0.34,4.21,4.35,1.25,3,0.17,0,0.0,1.76,0.0,0,0.0,0.04,0,0.0,8,0.46,25.0,0.0,0.0,0.06,0.85,26.67,0.68,25.0,0.17,33.33,0.11,2.5,56.82,6.2,41.28,0.68,0.85,15.2,1.02,0.85,24.65,74.6,9.85,65.32,4.27,96.0,5.64,74.75,21.29,82.35,2.5,25.0,17.99,23.6,0.34,0.0,0.0,0.06,0.0,0.23,2.96,53.85,1.02,38.89,0.28,0.0,0.4,0.28,5.12,48.89,0,,0,,0,0.0,0.0,0.0,,,0.23,,,0.0,0.0,0.0,0.0,0,0.0,ACC 2023,Power 5,2023
J. Joseph,NC State Wolfpack,"CF , LAMF , LW",,17,1576,2,2.72,1,0.88,27.58,36.44,United States,United States,170,0,5.31,6.0,57.14,1.31,26.09,0.0,0.0,0.0,1.88,2.01,1.88,4,0.23,1,0.06,3.71,0.11,2,0.11,0.16,0,0.0,36,2.06,27.78,5.556,0.06,0.05,1.03,11.11,0.46,0.0,0.57,20.0,0.11,7.31,41.41,16.73,30.38,2.8,2.23,9.82,1.54,0.8,15.88,67.27,3.2,35.71,4.05,88.73,4.97,68.97,14.28,72.4,0.69,33.33,16.33,21.04,0.29,0.06,0.0,0.4,0.0,0.23,1.43,44.0,1.14,20.0,0.4,0.0,0.51,0.17,1.77,45.16,0,,0,,0,0.0,0.0,0.0,,,0.0,,,0.06,0.06,0.0,0.0,0,0.0,ACC 2023,Power 5,2023
L. Ansbrow,Wake Forest Demon Deacon,"LCB , CB",20.0,17,1576,1,1.8,0,0.17,12.68,65.32,United States,United States,180,0,8.74,4.85,74.12,2.68,63.83,0.69,1.05,0.63,4.45,6.8,0.34,0,0.0,0,0.0,1.03,0.06,1,0.06,0.1,1,0.06,10,0.57,20.0,10.0,0.0,0.01,0.11,0.0,0.11,0.0,0.0,0.0,0.06,1.14,80.0,3.83,62.69,0.69,1.77,37.98,0.17,1.09,55.96,88.67,18.05,77.85,3.14,94.55,30.89,95.93,48.14,93.71,7.77,58.09,22.46,35.94,0.11,0.0,0.0,0.06,0.0,0.06,3.94,60.87,0.4,42.86,0.29,20.0,0.11,0.0,7.54,60.61,0,,0,,0,0.0,0.0,0.0,,,2.11,,,0.11,0.0,0.0,0.0,0,0.0,ACC 2023,Power 5,2023
M. Morris,Clemson Tigers,"RB , RCMF , LB",21.0,18,1576,8,4.96,5,4.02,12.79,53.13,United States,United States,165,0,6.68,4.45,58.97,1.03,55.56,0.06,0.08,0.0,4.0,5.66,0.23,0,0.0,0,0.0,4.05,0.46,7,0.4,0.28,1,0.06,33,1.88,60.61,24.242,0.29,0.23,2.0,34.29,0.17,66.67,1.77,32.26,0.57,2.8,69.39,5.77,51.49,2.63,2.8,30.49,1.48,0.4,46.09,74.6,19.93,67.62,6.05,91.51,11.99,80.48,39.97,80.14,4.11,40.28,16.83,32.64,0.97,0.06,0.06,0.86,33.33,0.57,7.88,63.77,2.63,43.48,0.74,38.46,1.14,0.69,10.16,67.98,0,,0,,0,0.0,0.0,0.0,,,0.4,,,0.0,0.0,0.0,0.11,1,100.0,ACC 2023,Power 5,2023
H. Howard,Louisville Cardinals,"LCMF , RCMF , RDMF",,18,1564,0,0.34,2,0.31,18.7,49.54,United States,United States,175,0,9.73,7.71,58.21,4.78,56.63,0.0,0.0,0.23,5.24,6.2,1.55,2,0.12,0,0.0,0.63,0.0,0,0.0,0.02,0,0.0,8,0.46,25.0,0.0,0.12,0.02,0.35,33.33,0.23,25.0,0.12,50.0,0.0,0.63,63.64,2.65,39.13,0.35,0.29,24.05,0.23,0.29,41.55,71.05,16.34,53.52,5.81,93.07,14.56,80.24,34.07,79.22,7.14,33.87,20.4,39.46,0.52,0.12,0.0,0.12,0.0,0.17,10.01,44.25,1.9,39.39,0.81,14.29,0.58,0.12,7.83,66.18,0,,0,,0,0.0,0.0,0.0,,,0.23,,,0.12,0.0,0.0,0.12,0,0.0,ACC 2023,Power 5,2023
