Player,Team,Position,Age,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Height,Weight,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,xA per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Lateral passes per 90,"Accurate lateral passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %",Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90.1,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %",conference_season,conference_type,Season
N. Anderson,New Mexico Lobos,"CF , RW",,16,842,1,2.06,2,2.18,20.74,40.72,United States,United States,157,0,4.49,5.02,59.57,0.75,71.43,0.11,0.1,0.0,1.39,1.36,0.86,1,0.11,0,0.0,4.92,0.11,1,0.11,0.22,0,0.0,24,2.57,54.17,4.167,0.21,0.23,2.24,47.62,0.43,50.0,1.82,47.06,0.43,4.81,51.11,12.51,34.19,4.06,2.78,9.51,1.82,0.86,16.25,79.61,2.03,73.68,6.41,91.67,5.02,78.72,13.9,84.62,0.21,50.0,15.53,7.19,1.5,0.11,0.0,0.0,0.0,0.86,0.64,66.67,1.71,50.0,0.0,0.0,0.43,1.07,1.92,72.22,0,,0,,0,0.0,0.0,0.0,,,0.0,,,0.0,0.0,0.0,0.0,0,0.0,MWC 2023,Non-P5,2023
K. Jones-Black,UNLV Rebels,"DMF , LCB",22.0,17,839,4,2.81,0,0.2,16.52,50.65,United States,United States,0,0,9.44,6.44,66.67,2.25,61.9,0.32,0.29,0.54,4.83,4.33,1.18,1,0.11,0,0.0,1.5,0.43,1,0.11,0.3,0,0.0,8,0.86,62.5,50.0,0.0,0.02,0.54,20.0,0.32,0.0,0.21,50.0,0.0,1.5,57.14,4.93,34.78,0.21,0.64,13.84,0.0,0.32,33.68,79.3,12.23,55.26,4.72,97.73,14.16,92.42,30.04,85.36,3.11,31.03,19.1,24.9,0.21,0.11,0.0,0.0,0.0,0.0,4.72,59.09,0.54,0.0,0.21,0.0,0.0,0.11,4.29,37.5,0,,0,,0,0.0,0.0,0.0,,,0.86,,,0.21,0.0,0.0,0.0,3,100.0,MWC 2023,Non-P5,2023
L. Brongo,Wyoming Cowgirls,"RB , LB",,17,839,1,0.06,1,0.13,18.24,55.29,United States,United States,0,0,12.98,11.8,68.18,0.97,0.0,0.21,0.29,0.11,4.72,6.41,0.86,0,0.0,0,0.0,0.97,0.11,1,0.11,0.01,0,0.0,2,0.21,100.0,50.0,0.11,0.01,0.64,50.0,0.0,0.0,0.64,50.0,0.0,0.64,50.0,3.0,39.29,0.0,0.97,14.27,0.75,0.54,28.86,69.14,14.27,64.66,2.68,92.0,7.72,73.61,24.99,72.1,3.22,50.0,17.52,24.04,0.54,0.11,0.0,0.11,100.0,0.21,4.51,61.9,0.97,55.56,0.0,0.0,0.11,0.32,8.05,56.0,0,,0,,0,0.0,0.0,0.0,,,0.54,,,0.11,0.0,0.0,0.11,0,0.0,MWC 2023,Non-P5,2023
T. Knowles,Utah St. Aggies,"LW , LWF",,20,833,2,1.38,1,0.78,26.04,41.91,United States,United States,163,0,6.48,7.02,50.77,2.7,32.0,0.0,0.0,0.0,2.92,2.52,0.65,0,0.0,0,0.0,4.54,0.22,2,0.22,0.15,0,0.0,10,1.08,60.0,20.0,0.11,0.08,1.94,38.89,1.62,40.0,0.32,33.33,0.22,4.75,61.36,12.53,43.1,2.48,1.62,16.31,2.48,1.3,28.74,66.92,9.51,56.82,6.59,86.89,7.78,66.67,24.74,71.18,2.48,47.83,16.53,19.16,0.76,0.0,0.0,0.43,50.0,0.54,3.57,48.48,2.7,52.0,0.65,33.33,1.4,0.43,5.94,70.91,0,,0,,0,0.0,0.0,0.0,,,0.0,,,0.0,0.0,0.0,0.0,0,0.0,MWC 2023,Non-P5,2023
E. Biggs,Colorado College Tigers,"LCB3 , RCB3 , RB",,17,832,0,0.0,0,0.0,23.47,49.77,United States,United States,165,0,15.79,14.82,61.31,1.95,22.22,0.43,0.45,0.87,6.27,6.52,0.76,4,0.43,0,0.0,0.32,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.76,14.29,0.0,0.0,0.76,14.29,0.0,0.76,28.57,3.79,31.43,0.0,0.65,13.09,0.11,0.97,28.45,65.78,15.69,66.21,2.81,80.77,7.14,69.7,21.74,72.64,5.95,47.27,22.53,33.41,0.0,0.0,0.0,0.0,0.0,0.0,4.0,62.16,0.97,22.22,0.32,33.33,0.11,0.22,8.76,58.02,0,,0,,0,0.0,0.0,0.0,,,1.3,,,0.11,0.0,0.0,0.0,0,0.0,MWC 2023,Non-P5,2023
K. Woodruff,Colorado College Tigers,"RCMF3 , AMF , LCMF3",,17,812,0,0.0,0,0.43,19.29,44.83,United States,United States,165,0,6.98,6.54,62.71,3.1,28.57,0.33,0.33,0.0,2.55,2.51,0.55,0,0.0,0,0.0,0.44,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.05,0.89,25.0,0.67,33.33,0.22,0.0,0.0,0.67,33.33,5.32,31.25,0.11,0.44,13.74,0.55,1.33,26.38,65.55,12.86,54.31,2.66,83.33,6.76,70.49,22.39,70.3,3.1,42.86,18.77,26.2,0.44,0.0,0.0,0.22,0.0,0.11,5.87,52.83,1.33,33.33,0.11,0.0,0.33,0.33,6.32,61.4,0,,0,,0,0.0,0.0,0.0,,,0.0,,,0.44,0.0,0.0,2.55,0,0.0,MWC 2023,Non-P5,2023
R. Richardson,Wyoming Cowgirls,"RCMF , LCMF , RCMF3",,17,803,0,1.34,0,0.4,23.87,46.01,United States,United States,0,0,9.53,7.85,65.71,2.35,38.1,0.56,0.63,0.11,3.81,4.25,2.47,2,0.22,0,0.0,1.68,0.0,0,0.0,0.15,0,0.0,18,2.02,27.78,0.0,0.0,0.04,0.67,0.0,0.34,0.0,0.34,0.0,0.22,2.24,50.0,9.19,35.37,1.34,0.56,15.47,0.67,1.23,32.17,68.29,10.76,57.29,6.28,82.14,11.1,79.8,27.8,72.18,3.7,51.52,18.69,20.51,0.45,0.0,0.0,0.34,0.0,0.11,5.94,60.38,0.9,25.0,0.56,20.0,0.45,0.22,6.72,51.67,0,,0,,0,0.0,0.0,0.0,,,0.22,,,0.0,0.0,0.0,0.0,0,0.0,MWC 2023,Non-P5,2023
L. Mirande,Air Force Falcons,RWB,19.0,18,791,0,0.58,2,2.07,17.75,47.44,United States,United States,168,0,9.44,6.49,70.18,1.59,35.71,0.0,0.0,0.68,4.89,4.27,0.68,0,0.0,0,0.0,2.73,0.0,0,0.0,0.07,0,0.0,6,0.68,66.67,0.0,0.23,0.24,2.73,16.67,0.11,0.0,2.62,17.39,0.46,2.96,53.85,6.49,33.33,0.91,3.53,25.03,1.59,0.34,38.91,69.3,16.04,61.7,5.92,86.54,11.04,68.04,33.34,75.77,2.96,42.31,18.28,25.47,1.59,0.0,0.0,0.46,50.0,0.68,7.28,57.81,3.87,29.41,0.8,28.57,0.91,0.57,9.79,70.93,0,,0,,0,0.0,0.0,0.0,,,0.0,,,0.34,0.0,0.0,0.23,0,0.0,MWC 2023,Non-P5,2023
 . Bartel,Wyoming Cowgirls,GK,,8,784,0,0.0,0,0.0,1.38,83.33,United States,United States,0,0,3.33,0.11,100.0,1.03,88.89,0.0,0.0,0.0,3.21,4.69,0.0,0,0.0,0,0.0,0.11,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,100.0,0.11,100.0,0.0,0.0,4.94,0.0,0.0,13.89,63.64,11.94,62.5,0.0,0.0,1.72,73.33,2.18,73.68,11.71,61.76,40.57,42.97,0.0,0.0,0.0,0.0,0.0,0.0,1.03,44.44,0.11,0.0,0.0,0.0,0.0,0.0,8.84,63.64,15,1.72,37,4.25,1,59.46,8.99,1.03,-6.01,-0.69,0.0,2.41,1.03,,,,0.0,0,0.0,MWC 2023,Non-P5,2023
H. Harnisch,Colorado College Tigers,"RW , RWB",,17,779,1,0.63,2,1.11,15.02,53.85,United States,United States,168,0,6.12,5.66,55.1,1.73,40.0,0.0,0.0,0.0,3.0,2.3,1.04,0,0.0,0,0.0,3.47,0.12,1,0.12,0.07,0,0.0,11,1.27,54.55,9.091,0.23,0.13,4.16,11.11,0.12,0.0,4.04,11.43,1.04,2.54,90.91,5.89,56.86,1.62,1.16,12.13,2.2,0.46,23.22,52.74,6.7,51.72,5.08,79.55,6.7,43.1,18.02,62.82,1.04,44.44,17.31,10.21,0.69,0.0,0.0,0.0,0.0,0.23,2.77,45.83,3.47,30.0,0.0,0.0,0.58,0.92,6.24,50.0,0,,0,,0,0.0,0.0,0.0,,,0.0,,,0.0,0.0,0.0,0.46,0,0.0,MWC 2023,Non-P5,2023
